Exposure,beta,se,p,anovaF,anovaP,Effect,lowCI,upCI,Outcome,Beta.SE,P,P_signif,anovaP_signif,outcome,model
Genotype_HC Genotype_ x time120,0.124011108333545,0.0918797048675293,0.187205900555077,,,Interaction,-0.0560731132068128,0.304095329873902,HMDB0031057,"0.1 (-0.1, 0.3)",0.187,0.187,,2-Hydroxy palmitic acid,bmi
Genotype_HC Genotype_ x time235,0.0662283248366743,0.0918797048675293,0.476602811409775,,,Interaction,-0.113855896703683,0.246312546377032,HMDB0031057,"0.1 (-0.1, 0.2)",0.477,0.477,,2-Hydroxy palmitic acid,bmi
Genotype_(joint),,,,4.79296878076343,0.0563158483719765,Main,,,HMDB0031057,"NA (NA, NA)",,,0.056,2-Hydroxy palmitic acid,bmi
Genotype_ x time(joint),,,,0.912268973800181,0.412465108555622,Interaction,,,HMDB0031057,"NA (NA, NA)",,,0.412,2-Hydroxy palmitic acid,bmi
Genotype_HC Genotype_,-0.241373406783475,0.106285317681177,0.0363445700016758,,,Main,-0.449692629438582,-0.0330541841283688,HMDB0031057,"-0.2 (-0.4, 0)",0.036,0.036*,,2-Hydroxy palmitic acid,primary
Genotype_HC Genotype_ x time120,0.124011108333564,0.0918797040652284,0.187205896669048,,,Interaction,-0.0560731116342836,0.304095328301412,HMDB0031057,"0.1 (-0.1, 0.3)",0.187,0.187,,2-Hydroxy palmitic acid,primary
Genotype_HC Genotype_ x time235,0.0662283248366957,0.0918797040652284,0.476602807511323,,,Interaction,-0.113855895131152,0.246312544804543,HMDB0031057,"0.1 (-0.1, 0.2)",0.477,0.477,,2-Hydroxy palmitic acid,primary
Genotype_(joint),,,,3.73350441923691,0.0821310584052685,Main,,,HMDB0031057,"NA (NA, NA)",,,0.082,2-Hydroxy palmitic acid,primary
Genotype_ x time(joint),,,,0.912268989732485,0.412465102205549,Interaction,,,HMDB0031057,"NA (NA, NA)",,,0.412,2-Hydroxy palmitic acid,primary
Genotype_HC Genotype_,-0.22155668081496,0.358253229940776,0.551044222718935,,,Main,-0.923733011498881,0.48061964986896,HMDB0000317,"-0.2 (-0.9, 0.5)",0.551,0.551,,2-Hydroxycaproic and or 2-Hydroxyisocaproic acid,bmi
Genotype_HC Genotype_ x time120,0.146763919748306,0.0862171162478161,0.0990488633955584,,,Interaction,-0.0222216280974138,0.315749467594025,HMDB0000317,"0.1 (0, 0.3)",0.099,0.099,,2-Hydroxycaproic and or 2-Hydroxyisocaproic acid,bmi
Genotype_HC Genotype_ x time235,0.0512237170690248,0.0862171162478161,0.556882857452077,,,Interaction,-0.117761830776695,0.220209264914744,HMDB0000317,"0.1 (-0.1, 0.2)",0.557,0.557,,2-Hydroxycaproic and or 2-Hydroxyisocaproic acid,bmi
Genotype_(joint),,,,0.192258921540326,0.671379597434542,Main,,,HMDB0000317,"NA (NA, NA)",,,0.671,2-Hydroxycaproic and or 2-Hydroxyisocaproic acid,bmi
Genotype_ x time(joint),,,,1.49287842106494,0.240947276901167,Interaction,,,HMDB0000317,"NA (NA, NA)",,,0.241,2-Hydroxycaproic and or 2-Hydroxyisocaproic acid,bmi
Genotype_HC Genotype_,-0.212474847806216,0.419501107654658,0.6231884016647,,,Main,-1.03469701880935,0.609747323196914,HMDB0000317,"-0.2 (-1, 0.6)",0.623,0.623,,2-Hydroxycaproic and or 2-Hydroxyisocaproic acid,primary
Genotype_HC Genotype_ x time120,0.146763919748308,0.086217117006359,0.0990488663227012,,,Interaction,-0.0222216295841557,0.315749469080771,HMDB0000317,"0.1 (0, 0.3)",0.099,0.099,,2-Hydroxycaproic and or 2-Hydroxyisocaproic acid,primary
Genotype_HC Genotype_ x time235,0.0512237170690263,0.086217117006359,0.556882860940302,,,Interaction,-0.117761832263437,0.22020926640149,HMDB0000317,"0.1 (-0.1, 0.2)",0.557,0.557,,2-Hydroxycaproic and or 2-Hydroxyisocaproic acid,primary
Genotype_(joint),,,,0.123663815525436,0.732391439805273,Main,,,HMDB0000317,"NA (NA, NA)",,,0.732,2-Hydroxycaproic and or 2-Hydroxyisocaproic acid,primary
Genotype_ x time(joint),,,,1.49287839479613,0.240947282793833,Interaction,,,HMDB0000317,"NA (NA, NA)",,,0.241,2-Hydroxycaproic and or 2-Hydroxyisocaproic acid,primary
Genotype_HC Genotype_,-0.0213205108423625,0.0288905654399513,0.468176188117243,,,Main,-0.077946019104667,0.035304997419942,HMDB0059655,"0 (-0.1, 0)",0.468,0.468,,2-Hydroxyglutaric acid,bmi
Genotype_HC Genotype_ x time120,0.0159171189515342,0.0319383928570227,0.621857952608002,,,Interaction,-0.0466821310482303,0.0785163689512988,HMDB0059655,"0 (0, 0.1)",0.622,0.622,,2-Hydroxyglutaric acid,bmi
Genotype_HC Genotype_ x time235,0.00146288991992274,0.0319383928570227,0.963770419324917,,,Interaction,-0.0611363600798418,0.0640621399196873,HMDB0059655,"0 (-0.1, 0.1)",0.964,0.964,,2-Hydroxyglutaric acid,bmi
Genotype_(joint),,,,0.487406991680745,0.502723959941682,Main,,,HMDB0059655,"NA (NA, NA)",,,0.503,2-Hydroxyglutaric acid,bmi
Genotype_ x time(joint),,,,0.151761998426009,0.859848202336929,Interaction,,,HMDB0059655,"NA (NA, NA)",,,0.86,2-Hydroxyglutaric acid,bmi
Genotype_HC Genotype_,-0.0218760704329313,0.0317892389053712,0.498912624946757,,,Main,-0.0841829786874589,0.0404308378215963,HMDB0059655,"0 (-0.1, 0)",0.499,0.499,,2-Hydroxyglutaric acid,primary
Genotype_HC Genotype_ x time120,0.0159171189516021,0.0319383927296305,0.621857951094003,,,Interaction,-0.0466821307984737,0.0785163687016779,HMDB0059655,"0 (0, 0.1)",0.622,0.622,,2-Hydroxyglutaric acid,primary
Genotype_HC Genotype_ x time235,0.00146288991998746,0.0319383927296305,0.963770419168291,,,Interaction,-0.0611363598300883,0.0640621396700633,HMDB0059655,"0 (-0.1, 0.1)",0.964,0.964,,2-Hydroxyglutaric acid,primary
Genotype_(joint),,,,0.385743028748007,0.548440144291087,Main,,,HMDB0059655,"NA (NA, NA)",,,0.548,2-Hydroxyglutaric acid,primary
Genotype_ x time(joint),,,,0.151761999637469,0.859848201282724,Interaction,,,HMDB0059655,"NA (NA, NA)",,,0.86,2-Hydroxyglutaric acid,primary
Genotype_HC Genotype_,-1.17334864423301,2.81436672210781,0.686397245895202,,,Main,-6.68950741956432,4.3428101310983,HMDB0060920,"-1.2 (-6.7, 4.3)",0.686,0.686,,2-Hydroxyibuprofen,bmi
Genotype_HC Genotype_ x time120,0.117385343378131,0.374065523474408,0.755837395739258,,,Interaction,-0.615783082631709,0.850553769387971,HMDB0060920,"0.1 (-0.6, 0.9)",0.756,0.756,,2-Hydroxyibuprofen,bmi
Genotype_HC Genotype_ x time235,0.103200274852795,0.374065523474408,0.784525521301194,,,Interaction,-0.629968151157045,0.836368700862636,HMDB0060920,"0.1 (-0.6, 0.8)",0.785,0.785,,2-Hydroxyibuprofen,bmi
Genotype_(joint),,,,0.153619692208791,0.704219215067774,Main,,,HMDB0060920,"NA (NA, NA)",,,0.704,2-Hydroxyibuprofen,bmi
Genotype_ x time(joint),,,,0.0586762645424858,0.943119954272144,Interaction,,,HMDB0060920,"NA (NA, NA)",,,0.943,2-Hydroxyibuprofen,bmi
Genotype_HC Genotype_,-1.12532050628869,2.96933740468943,0.712542870616729,,,Main,-6.94522181947996,4.69458080690258,HMDB0060920,"-1.1 (-6.9, 4.7)",0.713,0.713,,2-Hydroxyibuprofen,primary
Genotype_HC Genotype_ x time120,0.11738534337809,0.374065496401555,0.755837378500522,,,Interaction,-0.615783029568958,0.850553716325138,HMDB0060920,"0.1 (-0.6, 0.9)",0.756,0.756,,2-Hydroxyibuprofen,primary
Genotype_HC Genotype_ x time235,0.103200274852746,0.374065496401555,0.784525505972866,,,Interaction,-0.629968098094303,0.836368647799794,HMDB0060920,"0.1 (-0.6, 0.8)",0.785,0.785,,2-Hydroxyibuprofen,primary
Genotype_(joint),,,,0.126137470922608,0.729847637235836,Main,,,HMDB0060920,"NA (NA, NA)",,,0.73,2-Hydroxyibuprofen,primary
Genotype_ x time(joint),,,,0.0586762730357859,0.94311994628529,Interaction,,,HMDB0060920,"NA (NA, NA)",,,0.943,2-Hydroxyibuprofen,primary
Genotype_HC Genotype_,-0.123016199435372,0.103184397091528,0.250477961846346,,,Main,-0.325257617734768,0.0792252188640237,HMDB0002261,"-0.1 (-0.3, 0.1)",0.25,0.25,,2-Hydroxymyristic acid,bmi
Genotype_HC Genotype_ x time120,0.0688231635540481,0.0922278305940491,0.461336555031006,,,Interaction,-0.111943384410288,0.249589711518384,HMDB0002261,"0.1 (-0.1, 0.2)",0.461,0.461,,2-Hydroxymyristic acid,bmi
Genotype_HC Genotype_ x time235,0.038692398344771,0.0922278305940491,0.677817551395348,,,Interaction,-0.142074149619565,0.219458946309107,HMDB0002261,"0 (-0.1, 0.2)",0.678,0.678,,2-Hydroxymyristic acid,bmi
Genotype_(joint),,,,0.972893560691055,0.349732690808777,Main,,,HMDB0002261,"NA (NA, NA)",,,0.35,2-Hydroxymyristic acid,bmi
Genotype_ x time(joint),,,,0.279865798027533,0.757836969569212,Interaction,,,HMDB0002261,"NA (NA, NA)",,,0.758,2-Hydroxymyristic acid,bmi
Genotype_HC Genotype_,-0.121709604021658,0.105412119995809,0.263910095638882,,,Main,-0.328317359213444,0.0848981511701286,HMDB0002261,"-0.1 (-0.3, 0.1)",0.264,0.264,,2-Hydroxymyristic acid,primary
Genotype_HC Genotype_ x time120,0.0688231635540626,0.0922278307187642,0.461336555645826,,,Interaction,-0.111943384654715,0.24958971176284,HMDB0002261,"0.1 (-0.1, 0.2)",0.461,0.461,,2-Hydroxymyristic acid,primary
Genotype_HC Genotype_ x time235,0.0386923983447856,0.0922278307187642,0.677817551812894,,,Interaction,-0.142074149863992,0.219458946553563,HMDB0002261,"0 (-0.1, 0.2)",0.678,0.678,,2-Hydroxymyristic acid,primary
Genotype_(joint),,,,0.890949178918195,0.367466327175789,Main,,,HMDB0002261,"NA (NA, NA)",,,0.367,2-Hydroxymyristic acid,primary
Genotype_ x time(joint),,,,0.279865797270758,0.757836970137103,Interaction,,,HMDB0002261,"NA (NA, NA)",,,0.758,2-Hydroxymyristic acid,primary
Genotype_HC Genotype_,-0.376039319731792,0.375443996516791,0.340448495472231,,,Main,-1.1119095529047,0.359830913441117,HMDB0002264,"-0.4 (-1.1, 0.4)",0.34,0.34,,2-Hydroxyoctanoic acid,bmi
Genotype_HC Genotype_ x time120,0.0264145644993863,0.139132228572066,0.850703692402406,,,Interaction,-0.246284603501863,0.299113732500636,HMDB0002264,"0 (-0.2, 0.3)",0.851,0.851,,2-Hydroxyoctanoic acid,bmi
Genotype_HC Genotype_ x time235,0.0456872705744655,0.139132228572066,0.744910723751873,,,Interaction,-0.227011897426784,0.318386438575715,HMDB0002264,"0 (-0.2, 0.3)",0.745,0.745,,2-Hydroxyoctanoic acid,bmi
Genotype_(joint),,,,0.92120910585387,0.362231425354141,Main,,,HMDB0002264,"NA (NA, NA)",,,0.362,2-Hydroxyoctanoic acid,bmi
Genotype_ x time(joint),,,,0.0543535741943295,0.947190225360522,Interaction,,,HMDB0002264,"NA (NA, NA)",,,0.947,2-Hydroxyoctanoic acid,bmi
Genotype_HC Genotype_,-0.377777399709113,0.360135114921634,0.316556961150277,,,Main,-1.08364222495552,0.328087425537289,HMDB0002264,"-0.4 (-1.1, 0.3)",0.317,0.317,,2-Hydroxyoctanoic acid,primary
Genotype_HC Genotype_ x time120,0.0264145644993808,0.139132238255262,0.850703702759048,,,Interaction,-0.246284622480933,0.299113751479695,HMDB0002264,"0 (-0.2, 0.3)",0.851,0.851,,2-Hydroxyoctanoic acid,primary
Genotype_HC Genotype_ x time235,0.0456872705744578,0.139132238255262,0.744910741025159,,,Interaction,-0.227011916405856,0.318386457554772,HMDB0002264,"0 (-0.2, 0.3)",0.745,0.745,,2-Hydroxyoctanoic acid,primary
Genotype_(joint),,,,1.0153331182156,0.337387833174504,Main,,,HMDB0002264,"NA (NA, NA)",,,0.337,2-Hydroxyoctanoic acid,primary
Genotype_ x time(joint),,,,0.0543535666286122,0.947190232507697,Interaction,,,HMDB0002264,"NA (NA, NA)",,,0.947,2-Hydroxyoctanoic acid,primary
Genotype_HC Genotype_,-0.977363688852614,0.301721232575598,0.00364411065413445,,,Main,-1.56873730470079,-0.385990073004442,HMDB0062549,"-1 (-1.6, -0.4)",3.6e-03,3.6e-03**,,2-Hydroxystearic acid,bmi
Genotype_HC Genotype_ x time120,0.490467809220461,0.336569748585357,0.155434894309109,,,Interaction,-0.169208898006838,1.15014451644776,HMDB0062549,"0.5 (-0.2, 1.2)",0.155,0.155,,2-Hydroxystearic acid,bmi
Genotype_HC Genotype_ x time235,0.211546729488636,0.336569748585357,0.534408413499167,,,Interaction,-0.448129977738663,0.871223436715935,HMDB0062549,"0.2 (-0.4, 0.9)",0.534,0.534,,2-Hydroxystearic acid,bmi
Genotype_(joint),,,,10.3720758266992,0.0104798113064977,Main,,,HMDB0062549,"NA (NA, NA)",,,0.01*,2-Hydroxystearic acid,bmi
Genotype_ x time(joint),,,,1.06847409839331,0.356245460754891,Interaction,,,HMDB0062549,"NA (NA, NA)",,,0.356,2-Hydroxystearic acid,bmi
Genotype_HC Genotype_,-0.97699088147153,0.292921605901451,0.00253241566615599,,,Main,-1.55111722903837,-0.402864533904686,HMDB0062549,"-1 (-1.6, -0.4)",2.5e-03,2.5e-03**,,2-Hydroxystearic acid,primary
Genotype_HC Genotype_ x time120,0.490467809220476,0.336569720942872,0.155434855216062,,,Interaction,-0.169208843827553,1.15014446226851,HMDB0062549,"0.5 (-0.2, 1.2)",0.155,0.155,,2-Hydroxystearic acid,primary
Genotype_HC Genotype_ x time235,0.211546729488649,0.336569720942872,0.534408377265734,,,Interaction,-0.448129923559381,0.871223382536678,HMDB0062549,"0.2 (-0.4, 0.9)",0.534,0.534,,2-Hydroxystearic acid,primary
Genotype_(joint),,,,11.4902141665578,0.00688905742347369,Main,,,HMDB0062549,"NA (NA, NA)",,,6.9e-03**,2-Hydroxystearic acid,primary
Genotype_ x time(joint),,,,1.06847427390103,0.356245394851731,Interaction,,,HMDB0062549,"NA (NA, NA)",,,0.356,2-Hydroxystearic acid,primary
Genotype_HC Genotype_,0.164186828658895,0.272274332111214,0.557682568941358,,,Main,-0.369470862279084,0.697844519596874,HMDB0000402,"0.2 (-0.4, 0.7)",0.558,0.558,,2-Isopropylmalic acid,bmi
Genotype_HC Genotype_ x time120,-0.096343311057475,0.175709823213391,0.587537041780285,,,Interaction,-0.440734564555722,0.248047942440772,HMDB0000402,"-0.1 (-0.4, 0.2)",0.588,0.588,,2-Isopropylmalic acid,bmi
Genotype_HC Genotype_ x time235,-0.1037158350956,0.175709823213391,0.559431643988433,,,Interaction,-0.448107088593847,0.240675418402646,HMDB0000402,"-0.1 (-0.4, 0.2)",0.559,0.559,,2-Isopropylmalic acid,bmi
Genotype_(joint),,,,0.148904149252137,0.70854793954204,Main,,,HMDB0000402,"NA (NA, NA)",,,0.709,2-Isopropylmalic acid,bmi
Genotype_ x time(joint),,,,0.216939818946311,0.80623015948035,Interaction,,,HMDB0000402,"NA (NA, NA)",,,0.806,2-Isopropylmalic acid,bmi
Genotype_HC Genotype_,0.166133114779272,0.265533027502836,0.541912857170518,,,Main,-0.354311619126286,0.68657784868483,HMDB0000402,"0.2 (-0.4, 0.7)",0.542,0.542,,2-Isopropylmalic acid,primary
Genotype_HC Genotype_ x time120,-0.09634331105748,0.17570982335421,0.587537042081822,,,Interaction,-0.440734564831732,0.248047942716772,HMDB0000402,"-0.1 (-0.4, 0.2)",0.588,0.588,,2-Isopropylmalic acid,primary
Genotype_HC Genotype_ x time235,-0.103715835095607,0.17570982335421,0.559431644304871,,,Interaction,-0.448107088869859,0.240675418678645,HMDB0000402,"-0.1 (-0.4, 0.2)",0.559,0.559,,2-Isopropylmalic acid,primary
Genotype_(joint),,,,0.164235020865309,0.693821058693837,Main,,,HMDB0000402,"NA (NA, NA)",,,0.694,2-Isopropylmalic acid,primary
Genotype_ x time(joint),,,,0.216939818598612,0.806230159757766,Interaction,,,HMDB0000402,"NA (NA, NA)",,,0.806,2-Isopropylmalic acid,primary
Genotype_HC Genotype_,0.0367999078425094,0.0795925993190464,0.65291834358402,,,Main,-0.119201586822821,0.19280140250784,HMDB0005862,"0 (-0.1, 0.2)",0.653,0.653,,2-Methylguanosine,bmi
Genotype_HC Genotype_ x time120,-0.0438369447974006,0.0420063234219336,0.305016705979514,,,Interaction,-0.12616933870439,0.0384954491095892,HMDB0005862,"0 (-0.1, 0)",0.305,0.305,,2-Methylguanosine,bmi
Genotype_HC Genotype_ x time235,0.0126808172703719,0.0420063234219336,0.764827359615527,,,Interaction,-0.0696515766366179,0.0950132111773617,HMDB0005862,"0 (-0.1, 0.1)",0.765,0.765,,2-Methylguanosine,bmi
Genotype_(joint),,,,0.121411389506454,0.735520682069488,Main,,,HMDB0005862,"NA (NA, NA)",,,0.736,2-Methylguanosine,bmi
Genotype_ x time(joint),,,,0.996815898891625,0.380947988878943,Interaction,,,HMDB0005862,"NA (NA, NA)",,,0.381,2-Methylguanosine,bmi
Genotype_HC Genotype_,0.036519523375545,0.0762693198260048,0.640447614788679,,,Main,-0.112968343483424,0.186007390234514,HMDB0005862,"0 (-0.1, 0.2)",0.64,0.64,,2-Methylguanosine,primary
Genotype_HC Genotype_ x time120,-0.043836944797402,0.0420063234475539,0.305016706274718,,,Interaction,-0.126169338754608,0.0384954491598035,HMDB0005862,"0 (-0.1, 0)",0.305,0.305,,2-Methylguanosine,primary
Genotype_HC Genotype_ x time235,0.0126808172703763,0.0420063234475539,0.764827359755842,,,Interaction,-0.0696515766868293,0.0950132112275819,HMDB0005862,"0 (-0.1, 0.1)",0.765,0.765,,2-Methylguanosine,primary
Genotype_(joint),,,,0.130620702965813,0.725308602462141,Main,,,HMDB0005862,"NA (NA, NA)",,,0.725,2-Methylguanosine,primary
Genotype_ x time(joint),,,,0.996815897675848,0.380947989320992,Interaction,,,HMDB0005862,"NA (NA, NA)",,,0.381,2-Methylguanosine,primary
Genotype_HC Genotype_,0.28701931955503,0.171108082088149,0.106152506141308,,,Main,-0.0483525213377418,0.622391160447801,HMDB0000362,"0.3 (0, 0.6)",0.106,0.106,,2-Phosphoglyceric acid,bmi
Genotype_HC Genotype_ x time120,-0.0529291443749856,0.197899931254964,0.790949751665923,,,Interaction,-0.440813009634715,0.334954720884744,HMDB0000362,"-0.1 (-0.4, 0.3)",0.791,0.791,,2-Phosphoglyceric acid,bmi
Genotype_HC Genotype_ x time235,-0.0518218858078041,0.197899931254964,0.795219734627633,,,Interaction,-0.439705751067533,0.336061979451925,HMDB0000362,"-0.1 (-0.4, 0.3)",0.795,0.795,,2-Phosphoglyceric acid,bmi
Genotype_(joint),,,,3.9175778340956,0.0791503791621084,Main,,,HMDB0000362,"NA (NA, NA)",,,0.079,2-Phosphoglyceric acid,bmi
Genotype_ x time(joint),,,,0.0467110488612991,0.954432392347499,Interaction,,,HMDB0000362,"NA (NA, NA)",,,0.954,2-Phosphoglyceric acid,bmi
Genotype_HC Genotype_,0.289023682883738,0.174893598485909,0.110590819972864,,,Main,-0.053767770148644,0.63181513591612,HMDB0000362,"0.3 (-0.1, 0.6)",0.111,0.111,,2-Phosphoglyceric acid,primary
Genotype_HC Genotype_ x time120,-0.0529291443749915,0.197899935584655,0.790949756523207,,,Interaction,-0.440813018120916,0.334954729370933,HMDB0000362,"-0.1 (-0.4, 0.3)",0.791,0.791,,2-Phosphoglyceric acid,primary
Genotype_HC Genotype_ x time235,-0.0518218858078141,0.197899935584655,0.795219739389255,,,Interaction,-0.439705759553738,0.33606198793811,HMDB0000362,"-0.1 (-0.4, 0.3)",0.795,0.795,,2-Phosphoglyceric acid,primary
Genotype_(joint),,,,3.68278625988147,0.0839394496876952,Main,,,HMDB0000362,"NA (NA, NA)",,,0.084,2-Phosphoglyceric acid,primary
Genotype_ x time(joint),,,,0.0467110468174073,0.954432394307137,Interaction,,,HMDB0000362,"NA (NA, NA)",,,0.954,2-Phosphoglyceric acid,primary
Genotype_HC Genotype_,-0.0020041429521905,0.0468412423254241,0.966400325750127,,,Main,-0.0938129779100217,0.0898046920056407,HMDB0142963,"0 (-0.1, 0.1)",0.966,0.966,,2-amino-6-hydroxyhexanoic acid,bmi
Genotype_HC Genotype_ x time120,-0.0246051942982029,0.0417767971860103,0.560291901474121,,,Interaction,-0.106487716782783,0.0572773281863774,HMDB0142963,"0 (-0.1, 0.1)",0.56,0.56,,2-amino-6-hydroxyhexanoic acid,bmi
Genotype_HC Genotype_ x time235,-0.00069575918576063,0.0417767971860103,0.986822753435342,,,Interaction,-0.0825782816703409,0.0811867632988196,HMDB0142963,"0 (-0.1, 0.1)",0.987,0.987,,2-amino-6-hydroxyhexanoic acid,bmi
Genotype_(joint),,,,0.0675712706365999,0.800755389647831,Main,,,HMDB0142963,"NA (NA, NA)",,,0.801,2-amino-6-hydroxyhexanoic acid,bmi
Genotype_ x time(joint),,,,0.224901206348167,0.799929361407292,Interaction,,,HMDB0142963,"NA (NA, NA)",,,0.8,2-amino-6-hydroxyhexanoic acid,bmi
Genotype_HC Genotype_,-0.0026339687336808,0.0481910858423538,0.957043133135002,,,Main,-0.0970884969846942,0.0918205595173326,HMDB0142963,"0 (-0.1, 0.1)",0.957,0.957,,2-amino-6-hydroxyhexanoic acid,primary
Genotype_HC Genotype_ x time120,-0.0246051942981963,0.0417767973130132,0.560291902684283,,,Interaction,-0.106487717031702,0.0572773284353096,HMDB0142963,"0 (-0.1, 0.1)",0.56,0.56,,2-amino-6-hydroxyhexanoic acid,primary
Genotype_HC Genotype_ x time235,-0.00069575918575313,0.0417767973130132,0.986822753476152,,,Interaction,-0.082578281919259,0.0811867635477527,HMDB0142963,"0 (-0.1, 0.1)",0.987,0.987,,2-amino-6-hydroxyhexanoic acid,primary
Genotype_(joint),,,,0.0703729855662697,0.796182771841349,Main,,,HMDB0142963,"NA (NA, NA)",,,0.796,2-amino-6-hydroxyhexanoic acid,primary
Genotype_ x time(joint),,,,0.224901204980698,0.799929362492367,Interaction,,,HMDB0142963,"NA (NA, NA)",,,0.8,2-amino-6-hydroxyhexanoic acid,primary
Genotype_HC Genotype_,-0.0752602480216056,0.174218086105593,0.675284496512334,,,Main,-0.416727696788567,0.266207200745356,HMDB0000375,"-0.1 (-0.4, 0.3)",0.675,0.675,,3-(3-Hydroxyphenyl)propanoic acid,bmi
Genotype_HC Genotype_ x time120,0.177030928915512,0.0541515419900766,0.00270794016973992,,,Interaction,0.0708939066149618,0.283167951216062,HMDB0000375,"0.2 (0.1, 0.3)",2.7e-03,2.7e-03**,,3-(3-Hydroxyphenyl)propanoic acid,bmi
Genotype_HC Genotype_ x time235,0.140302937302653,0.0541515419900766,0.0146379669060605,,,Interaction,0.0341659150021026,0.246439959603203,HMDB0000375,"0.1 (0, 0.2)",0.015,0.015*,,3-(3-Hydroxyphenyl)propanoic acid,bmi
Genotype_(joint),,,,0.0317054079047675,0.862618875931531,Main,,,HMDB0000375,"NA (NA, NA)",,,0.863,3-(3-Hydroxyphenyl)propanoic acid,bmi
Genotype_ x time(joint),,,,5.95348484891331,0.00664549518042197,Interaction,,,HMDB0000375,"NA (NA, NA)",,,6.6e-03**,3-(3-Hydroxyphenyl)propanoic acid,bmi
Genotype_HC Genotype_,-0.0753638045981529,0.165589655041711,0.658075817592506,,,Main,-0.399919528479907,0.249191919283602,HMDB0000375,"-0.1 (-0.4, 0.2)",0.658,0.658,,3-(3-Hydroxyphenyl)propanoic acid,primary
Genotype_HC Genotype_ x time120,0.177030928915608,0.0541511605908185,0.00270776321386052,,,Interaction,0.0708946541576033,0.283167203673612,HMDB0000375,"0.2 (0.1, 0.3)",2.7e-03,2.7e-03**,,3-(3-Hydroxyphenyl)propanoic acid,primary
Genotype_HC Genotype_ x time235,0.140302937302747,0.0541511605908185,0.0146372954402503,,,Interaction,0.0341666625447432,0.246439212060752,HMDB0000375,"0.1 (0, 0.2)",0.015,0.015*,,3-(3-Hydroxyphenyl)propanoic acid,primary
Genotype_(joint),,,,0.0349823378878319,0.855372887378174,Main,,,HMDB0000375,"NA (NA, NA)",,,0.855,3-(3-Hydroxyphenyl)propanoic acid,primary
